       0      38     0 -9.908e-17  1.295e+01 -1.618e+00     0     1     9     3     4     1   1.60421530449902399788580e-09  5.554e-01 -4.793e+02  1.781e+01  1.524e+00    0    2    0    0 NULL NULL
       0      77     0  2.614e-17  1.403e+01  4.269e-01     0     1     8     9    14     0   1.68898406855874699938877e-09  4.695e-01 -4.591e+02  8.199e+01  3.113e+01    0    2    0    0 NULL NULL
       0     121     0 -1.866e-16 -4.105e+01 -3.047e+00     0     1     6    22    18     0   1.52906531802882509659437e-09  5.157e-01 -4.584e+02 -4.293e+01 -4.952e+00    0    1    0    0 NULL NULL
       0     166     0  2.702e-16  3.225e+01  4.413e+00     0     1     9     2     9     0   1.50342323738525450118773e-09  5.328e-01 -4.510e+02  3.355e+01  5.811e+00    0    1    0    0 NULL NULL
       0     178     0 -3.970e-17  2.390e+01 -6.484e-01     0     1     1    24    18     1   1.77915732057568310928937e-09  4.776e-01 -4.700e+02  5.255e+00 -1.064e+02    0    2    0    0 NULL NULL
       0     214     0 -1.033e-16 -2.583e+01 -1.686e+00     0     1     7    13    22     0   1.77509465705725037204087e-09  4.632e-01 -4.506e+02 -1.353e+02 -4.297e+01    0    1    0    0 NULL NULL
       0     240     0  1.121e-16  1.570e+01  1.830e+00     0     1     9     3     4     1   1.58143229157359164299263e-09  5.221e-01 -4.741e+02  1.635e+01  3.661e+00    0    1    0    0 NULL NULL
       0     255     0  3.959e-17 -1.432e+02  6.466e-01     0     1    11     4     1     1   1.57757302356900927804988e-09  5.137e-01 -4.729e+02 -1.497e+02  8.692e-01    0    1    0    0 NULL NULL
       0     269     0  2.247e-17  1.688e+01  3.669e-01     0     1     4    13    24     0   1.69782896460700768993284e-09  4.739e-01 -4.597e+02  9.733e+01 -4.346e+01    0    0    0    0 NULL NULL
       0     279     0 -1.648e-18 -6.553e+00 -2.692e-02     0     1     6    20    22     0   1.53145730155119584938722e-09  4.947e-01 -4.591e+02 -6.700e+00 -8.984e-01    0    1    0    0 NULL NULL
       0     555     0 -1.884e-16 -5.261e+01 -3.076e+00     0     1     6    23    17     1   1.59347574079722034666834e-09  4.969e-01 -4.777e+02 -5.500e+01 -4.390e+00    0    1    0    0 NULL NULL
       0     631     0 -6.446e-18  2.706e+01 -1.053e-01     0     1     5    23    21     1   1.58928798580982534786220e-09  5.331e-01 -4.765e+02  2.828e+01 -9.734e-01    0    1    0    0 NULL NULL
       0     645     0 -1.282e-17 -1.976e+01 -2.093e-01     0     1     4    24     2     0   1.75885289605735556390388e-09  4.884e-01 -4.571e+02  8.797e+01 -1.794e+01    0    0    0    0 NULL NULL
       0     766     0  2.855e-17  4.032e-01  4.663e-01     0     1     9     4     4     1   1.59343273463217328586414e-09  5.319e-01 -4.777e+02  4.821e-01  1.138e+00    0    1    0    0 NULL NULL
       0     838     0 -1.398e-16 -7.666e+00 -2.284e+00     0     1     6    20    22     1   1.59831506591881439510713e-09  5.213e-01 -4.792e+02 -8.030e+00 -2.304e+00    0    1    0    0 NULL NULL
       0     880     0 -8.560e-17  1.721e+01 -1.398e+00     0     1     5    23    24     1   1.56086502936158902995168e-09  5.177e-01 -4.679e+02  1.812e+01 -1.947e+00    0    1    0    0 NULL NULL
